Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-05-21,6.699,0
2021-05-22,7.256,0
2021-05-23,8.012,0
2021-05-24,7.873,0
2021-05-25,8.755,0
2021-05-26,9.641,0
2021-05-27,9.09,0
2021-05-28,7.639,1
2021-05-29,5.828,1
2021-05-30,5.104,1
2021-05-31,5.499,1
2021-06-01,7.371,1
2021-06-02,8.241,1
2021-06-03,8.705,1
2021-06-04,9.305,1
2021-06-05,9.735,1
2021-06-06,10.215,1
2021-06-07,10.015,2
2021-06-08,10.164,2
2021-06-09,10.311,2
2021-06-10,10.458,2
2021-06-11,10.603,2
2021-06-12,10.748,2
2021-06-13,10.892,2
