Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-01-14,21.962,0
2020-01-15,22.402,0
2020-01-16,27.548,0
2020-01-17,31.224,0
2020-01-18,28.831,0
2020-01-19,32.386,0
2020-01-20,35.35,0
2020-01-21,35.295,1
2020-01-22,30.661,1
2020-01-23,26.427,1
2020-01-24,23.518,1
2020-01-25,22.561,1
2020-01-26,23.35,1
2020-01-27,24.027,1
2020-01-28,25.195,1
2020-01-29,27.369,1
2020-01-30,28.743,1
2020-01-31,28.252,1
2020-02-01,25.995,1
2020-02-02,24.774,1
2020-02-03,25.817,1
2020-02-04,25.85,1
2020-02-05,28.86,2
2020-02-06,28.77,2
2020-02-07,28.675,2
2020-02-08,28.573,2
2020-02-09,28.463,2
2020-02-10,28.346,2
2020-02-11,28.219,2
