Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-09-12,10.386,0
2021-09-13,11.044,0
2021-09-14,10.714,0
2021-09-15,10.125,0
2021-09-16,9.797,0
2021-09-17,10.467,0
2021-09-18,10.928,0
2021-09-19,10.051,0
2021-09-20,9.901,1
2021-09-21,8.896,1
2021-09-22,6.448,1
2021-09-23,5.27,1
2021-09-24,4.527,1
2021-09-25,4.905,1
2021-09-26,5.756,1
2021-09-27,6.63,1
2021-09-28,7.346,1
2021-09-29,7.757,1
2021-09-30,7.968,1
2021-10-01,7.801,1
2021-10-02,7.418,1
2021-10-03,7.151,1
2021-10-04,7.724,1
2021-10-05,5.907,2
2021-10-06,5.737,2
2021-10-07,5.569,2
2021-10-08,5.402,2
2021-10-09,5.237,2
2021-10-10,5.073,2
2021-10-11,4.911,2
