Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-11-19,14.998,0
2020-11-20,12.873,0
2020-11-21,15.935,0
2020-11-22,18.626,0
2020-11-23,19.968,0
2020-11-24,20.711,0
2020-11-25,17.291,0
2020-11-26,15.753,1
2020-11-27,17.643,1
2020-11-28,19.35,1
2020-11-29,20.409,1
2020-11-30,22.873,1
2020-12-01,25.733,1
2020-12-02,26.475,1
2020-12-03,26.571,1
2020-12-04,25.822,1
2020-12-05,25.248,1
2020-12-06,25.382,1
2020-12-07,26.311,1
2020-12-08,26.757,1
2020-12-09,26.333,1
2020-12-10,25.394,1
2020-12-11,24.946,1
2020-12-12,25.368,2
2020-12-13,25.607,2
2020-12-14,25.849,2
2020-12-15,26.092,2
2020-12-16,26.336,2
2020-12-17,26.581,2
2020-12-18,26.824,2
