Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-03-20,3.697,0
2020-03-21,2.591,0
2020-03-22,2.217,0
2020-03-23,2.963,0
2020-03-24,3.611,0
2020-03-25,3.665,0
2020-03-26,3.94,0
2020-03-27,5.371,1
2020-03-28,4.748,1
2020-03-29,3.821,1
2020-03-30,2.967,1
2020-03-31,2.325,1
2020-04-01,1.559,1
2020-04-02,0.98,1
2020-04-03,0.768,1
2020-04-04,0.855,1
2020-04-05,1.16,1
2020-04-06,1.397,1
2020-04-07,1.627,1
2020-04-08,1.826,1
2020-04-09,1.791,1
2020-04-10,2.152,1
2020-04-11,2.715,2
2020-04-12,2.769,2
2020-04-13,2.822,2
2020-04-14,2.874,2
2020-04-15,2.927,2
2020-04-16,2.979,2
2020-04-17,3.032,2
