Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-02-15,28.422,0
2022-02-16,20.41,0
2022-02-17,21.449,0
2022-02-18,27.662,0
2022-02-19,30.334,0
2022-02-20,25.133,0
2022-02-21,19.949,0
2022-02-22,21.002,0
2022-02-23,28.977,1
2022-02-24,30.914,1
2022-02-25,32.944,1
2022-02-26,32.483,1
2022-02-27,29.588,1
2022-02-28,32.422,1
2022-03-01,24.409,1
2022-03-02,19.175,1
2022-03-03,21.838,1
2022-03-04,19.944,1
2022-03-05,20.691,1
2022-03-06,25.551,1
2022-03-07,23.155,1
2022-03-08,18.795,1
2022-03-09,17.112,1
2022-03-10,20.45,2
2022-03-11,20.106,2
2022-03-12,19.769,2
2022-03-13,19.439,2
2022-03-14,19.117,2
2022-03-15,18.804,2
2022-03-16,18.499,2
