Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-08-11,14.705,0
2021-08-12,14.921,0
2021-08-13,13.576,0
2021-08-14,11.854,0
2021-08-15,10.316,0
2021-08-16,10.615,0
2021-08-17,11.174,0
2021-08-18,11.251,1
2021-08-19,11.634,1
2021-08-20,11.798,1
2021-08-21,11.525,1
2021-08-22,11.669,1
2021-08-23,13.131,1
2021-08-24,14.55,1
2021-08-25,13.377,1
2021-08-26,11.484,1
2021-08-27,9.697,1
2021-08-28,9.24,1
2021-08-29,9.812,1
2021-08-30,10.361,1
2021-08-31,10.63,1
2021-09-01,10.539,1
2021-09-02,11.088,1
2021-09-03,9.312,2
2021-09-04,9.158,2
2021-09-05,8.998,2
2021-09-06,8.831,2
2021-09-07,8.658,2
2021-09-08,8.479,2
2021-09-09,8.296,2
