Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2018-09-07,0.47,0
2018-09-08,1.128,0
2018-09-09,2.63,0
2018-09-10,1.753,0
2018-09-11,0.404,0
2018-09-12,0.459,0
2018-09-13,0.584,0
2018-09-14,0.637,1
2018-09-15,0.568,1
2018-09-16,0.612,1
2018-09-17,0.601,1
2018-09-18,0.656,1
2018-09-19,0.792,1
2018-09-20,0.935,1
2018-09-21,1.208,1
2018-09-22,1.804,1
2018-09-23,1.812,1
2018-09-24,1.471,1
2018-09-25,1.481,1
2018-09-26,1.594,1
2018-09-27,1.98,1
2018-09-28,2.413,1
2018-09-29,3.879,2
2018-09-30,4.097,2
2018-10-01,4.318,2
2018-10-02,4.543,2
2018-10-03,4.772,2
2018-10-04,5.004,2
2018-10-05,5.238,2
