Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-10-04,3.637,0
2020-10-05,4.246,0
2020-10-06,5.167,0
2020-10-07,6.491,0
2020-10-08,6.333,0
2020-10-09,6.038,0
2020-10-10,6.562,0
2020-10-11,7.227,1
2020-10-12,6.531,1
2020-10-13,6.131,1
2020-10-14,6.264,1
2020-10-15,5.85,1
2020-10-16,3.517,1
2020-10-17,2.666,1
2020-10-18,2.654,1
2020-10-19,2.434,1
2020-10-20,1.924,1
2020-10-21,1.816,1
2020-10-22,2.127,1
2020-10-23,2.326,1
2020-10-24,2.549,1
2020-10-25,2.501,1
2020-10-26,2.597,2
2020-10-27,2.49,2
2020-10-28,2.388,2
2020-10-29,2.291,2
2020-10-30,2.198,2
2020-10-31,2.11,2
2020-11-01,2.027,2
