Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-10-24,1.943,0
2022-10-25,0.912,0
2022-10-26,0.918,0
2022-10-27,1.004,0
2022-10-28,1.162,0
2022-10-29,1.179,0
2022-10-30,1.111,0
2022-10-31,1.474,1
2022-11-01,1.468,1
2022-11-02,1.534,1
2022-11-03,1.609,1
2022-11-04,1.438,1
2022-11-05,1.238,1
2022-11-06,1.574,1
2022-11-07,1.677,1
2022-11-08,1.323,1
2022-11-09,1.081,1
2022-11-10,1,1
2022-11-11,0.888,1
2022-11-12,0.844,1
2022-11-13,0.818,1
2022-11-14,0.706,1
2022-11-15,0.682,2
2022-11-16,0.662,2
2022-11-17,0.644,2
2022-11-18,0.629,2
2022-11-19,0.616,2
2022-11-20,0.605,2
2022-11-21,0.595,2
