Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-05-06,2.327,0
2020-05-07,1.896,0
2020-05-08,2.013,0
2020-05-09,1.859,0
2020-05-10,1.882,0
2020-05-11,1.708,0
2020-05-12,1.796,0
2020-05-13,2.136,0
2020-05-14,3.231,1
2020-05-15,4.233,1
2020-05-16,4.146,1
2020-05-17,4.206,1
2020-05-18,3.631,1
2020-05-19,3.043,1
2020-05-20,3.248,1
2020-05-21,4.313,1
2020-05-22,5.602,1
2020-05-23,6.448,1
2020-05-24,6.728,1
2020-05-25,6.45,1
2020-05-26,5.917,1
2020-05-27,5.399,1
2020-05-28,6.02,2
2020-05-29,6.175,2
2020-05-30,6.329,2
2020-05-31,6.481,2
2020-06-01,6.632,2
2020-06-02,6.782,2
2020-06-03,6.931,2
