Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-04-15,19.164,0
2020-04-16,18.625,0
2020-04-17,17.647,0
2020-04-18,15.698,0
2020-04-19,12.463,0
2020-04-20,11.839,0
2020-04-21,12.852,0
2020-04-22,13.266,1
2020-04-23,11.115,1
2020-04-24,10.677,1
2020-04-25,10.795,1
2020-04-26,10.324,1
2020-04-27,9.851,1
2020-04-28,7.075,1
2020-04-29,5.686,1
2020-04-30,7.024,1
2020-05-01,7.254,1
2020-05-02,7.006,1
2020-05-03,6.336,1
2020-05-04,7.137,1
2020-05-05,7.815,1
2020-05-06,7.16,1
2020-05-07,5.734,1
2020-05-08,5.979,2
2020-05-09,5.793,2
2020-05-10,5.609,2
2020-05-11,5.425,2
2020-05-12,5.243,2
2020-05-13,5.061,2
2020-05-14,4.88,2
