Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-12-11,23.433,0
2022-12-12,24.812,0
2022-12-13,26.26,0
2022-12-14,26.304,0
2022-12-15,26.522,0
2022-12-16,27.952,0
2022-12-17,31.122,0
2022-12-18,33.133,1
2022-12-19,32.763,1
2022-12-20,32.492,1
2022-12-21,34.148,1
2022-12-22,34.855,1
2022-12-23,37.273,1
2022-12-24,40.918,1
2022-12-25,39.177,1
2022-12-26,37.307,1
2022-12-27,36.853,1
2022-12-28,29.571,1
2022-12-29,26.447,1
2022-12-30,23.098,1
2022-12-31,19.584,1
2023-01-01,18.036,1
2023-01-02,28.679,2
2023-01-03,28.776,2
2023-01-04,28.862,2
2023-01-05,28.936,2
2023-01-06,28.999,2
2023-01-07,29.05,2
2023-01-08,29.091,2
