Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2023-02-12,0.142,0
2023-02-13,0.003,0
2023-02-14,0.259,0
2023-02-15,0.84,0
2023-02-16,0.753,0
2023-02-17,0.655,0
2023-02-18,0.224,0
2023-02-19,0.46,1
2023-02-20,0.698,1
2023-02-21,1.2,1
2023-02-22,1.604,1
2023-02-23,2.057,1
2023-02-24,1.567,1
2023-02-25,1.666,1
2023-02-26,1.484,1
2023-02-27,0.979,1
2023-02-28,0.678,1
2023-03-01,0.755,1
2023-03-02,1.083,1
2023-03-03,1.308,1
2023-03-04,1.301,1
2023-03-05,1.197,1
2023-03-06,1.083,1
2023-03-07,0.677,2
2023-03-08,0.68,2
2023-03-09,0.685,2
2023-03-10,0.692,2
2023-03-11,0.701,2
2023-03-12,0.712,2
2023-03-13,0.725,2
