Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-07-28,13.408,0
2020-07-29,13.197,0
2020-07-30,12.977,0
2020-07-31,11.753,0
2020-08-01,11.249,0
2020-08-02,11.525,0
2020-08-03,10.782,0
2020-08-04,9.318,0
2020-08-05,9.397,1
2020-08-06,9.479,1
2020-08-07,10.276,1
2020-08-08,11.748,1
2020-08-09,12.799,1
2020-08-10,13.237,1
2020-08-11,12.796,1
2020-08-12,12.244,1
2020-08-13,11.286,1
2020-08-14,10.415,1
2020-08-15,9.839,1
2020-08-16,9.865,1
2020-08-17,10.169,1
2020-08-18,10.54,1
2020-08-19,10.859,1
2020-08-20,10.62,2
2020-08-21,10.548,2
2020-08-22,10.474,2
2020-08-23,10.397,2
2020-08-24,10.315,2
2020-08-25,10.23,2
2020-08-26,10.139,2
