Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2018-10-09,8.618,0
2018-10-10,7.53,0
2018-10-11,5.305,0
2018-10-12,3.457,0
2018-10-13,3.591,0
2018-10-14,4.364,0
2018-10-15,4.769,0
2018-10-16,4.044,1
2018-10-17,3.558,1
2018-10-18,3.165,1
2018-10-19,3.397,1
2018-10-20,3.752,1
2018-10-21,2.962,1
2018-10-22,2.431,1
2018-10-23,2.45,1
2018-10-24,2.351,1
2018-10-25,1.99,1
2018-10-26,1.978,1
2018-10-27,2.136,1
2018-10-28,1.983,1
2018-10-29,1.692,1
2018-10-30,1.334,1
2018-10-31,2.095,2
2018-11-01,2.012,2
2018-11-02,1.932,2
2018-11-03,1.853,2
2018-11-04,1.778,2
2018-11-05,1.704,2
2018-11-06,1.634,2
