Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-05-16,3.002,0
2021-05-17,2.731,0
2021-05-18,1.673,0
2021-05-19,1.471,0
2021-05-20,2.025,0
2021-05-21,2.016,0
2021-05-22,1.952,0
2021-05-23,1.851,1
2021-05-24,1.728,1
2021-05-25,1.152,1
2021-05-26,1.238,1
2021-05-27,3.395,1
2021-05-28,5.693,1
2021-05-29,5.435,1
2021-05-30,3.953,1
2021-05-31,2.274,1
2021-06-01,0.5,1
2021-06-02,0.418,1
2021-06-03,0.418,1
2021-06-04,0.389,1
2021-06-05,0.265,1
2021-06-06,0.092,1
2021-06-07,0.438,1
2021-06-08,0.966,2
2021-06-09,0.873,2
2021-06-10,0.788,2
2021-06-11,0.709,2
2021-06-12,0.637,2
2021-06-13,0.571,2
2021-06-14,0.513,2
