Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-09-25,4.543,0
2020-09-26,5.543,0
2020-09-27,6.138,0
2020-09-28,5.212,0
2020-09-29,3.418,0
2020-09-30,2.924,0
2020-10-01,3.18,0
2020-10-02,2.85,0
2020-10-03,2.65,1
2020-10-04,2.64,1
2020-10-05,2.498,1
2020-10-06,2.709,1
2020-10-07,2.998,1
2020-10-08,2.9,1
2020-10-09,2.905,1
2020-10-10,3.317,1
2020-10-11,3.516,1
2020-10-12,3.558,1
2020-10-13,2.938,1
2020-10-14,2.244,1
2020-10-15,1.907,1
2020-10-16,1.82,1
2020-10-17,2.191,2
2020-10-18,2.088,2
2020-10-19,1.989,2
2020-10-20,1.892,2
2020-10-21,1.799,2
2020-10-22,1.708,2
2020-10-23,1.621,2
