Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-06-23,6.683,0
2021-06-24,7.814,0
2021-06-25,9.077,0
2021-06-26,11.391,0
2021-06-27,12.957,0
2021-06-28,13.122,0
2021-06-29,13.321,0
2021-06-30,12.665,1
2021-07-01,10.853,1
2021-07-02,8.741,1
2021-07-03,9.059,1
2021-07-04,10.557,1
2021-07-05,11.305,1
2021-07-06,11.811,1
2021-07-07,11.852,1
2021-07-08,12.203,1
2021-07-09,12.494,1
2021-07-10,12.291,2
2021-07-11,12.359,2
2021-07-12,12.417,2
2021-07-13,12.463,2
2021-07-14,12.499,2
2021-07-15,12.524,2
2021-07-16,12.538,2
