Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-07-31,11.493,0
2019-08-01,11.306,0
2019-08-02,11.059,0
2019-08-03,11.885,0
2019-08-04,12.521,0
2019-08-05,12.066,0
2019-08-06,12.64,0
2019-08-07,13.103,0
2019-08-08,11.839,1
2019-08-09,10.729,1
2019-08-10,10.012,1
2019-08-11,10.746,1
2019-08-12,11.843,1
2019-08-13,11.998,1
2019-08-14,12.008,1
2019-08-15,11.628,1
2019-08-16,12.153,1
2019-08-17,10.64,1
2019-08-18,10.221,1
2019-08-19,10.835,1
2019-08-20,11.99,1
2019-08-21,11.951,1
2019-08-22,11.227,1
2019-08-23,10.261,2
2019-08-24,10.166,2
2019-08-25,10.066,2
2019-08-26,9.962,2
2019-08-27,9.852,2
2019-08-28,9.737,2
2019-08-29,9.617,2
