Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2018-09-09,8.62,0
2018-09-10,8.166,0
2018-09-11,9.103,0
2018-09-12,10.754,0
2018-09-13,11.538,0
2018-09-14,11.717,0
2018-09-15,12.103,0
2018-09-16,11.391,0
2018-09-17,11.765,1
2018-09-18,11.776,1
2018-09-19,10.75,1
2018-09-20,9.922,1
2018-09-21,9.171,1
2018-09-22,8.421,1
2018-09-23,8.021,1
2018-09-24,7.685,1
2018-09-25,7.397,1
2018-09-26,7.286,1
2018-09-27,6.699,1
2018-09-28,6.052,1
2018-09-29,5.586,1
2018-09-30,5.111,1
2018-10-01,4.347,1
2018-10-02,5.807,2
2018-10-03,5.628,2
2018-10-04,5.452,2
2018-10-05,5.279,2
2018-10-06,5.11,2
2018-10-07,4.945,2
2018-10-08,4.785,2
