Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-03-14,0.533,0
2021-03-15,0.71,0
2021-03-16,1.255,0
2021-03-17,0.984,0
2021-03-18,0.729,0
2021-03-19,0.211,0
2021-03-20,0.125,0
2021-03-21,0.112,1
2021-03-22,0.193,1
2021-03-23,0.605,1
2021-03-24,0.823,1
2021-03-25,1.091,1
2021-03-26,1.206,1
2021-03-27,1.205,1
2021-03-28,1.095,1
2021-03-29,0.774,1
2021-03-30,0.671,1
2021-03-31,0.616,1
2021-04-01,0.762,1
2021-04-02,0.907,1
2021-04-03,1.104,1
2021-04-04,1.233,1
2021-04-05,1.359,1
2021-04-06,1.406,2
2021-04-07,1.437,2
2021-04-08,1.466,2
2021-04-09,1.493,2
2021-04-10,1.518,2
2021-04-11,1.541,2
2021-04-12,1.562,2
