Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-11-14,17.976,0
2020-11-15,15.403,0
2020-11-16,16.792,0
2020-11-17,19.337,0
2020-11-18,19.999,0
2020-11-19,14.974,0
2020-11-20,13.736,0
2020-11-21,15.841,1
2020-11-22,17.643,1
2020-11-23,19.174,1
2020-11-24,19.741,1
2020-11-25,17.612,1
2020-11-26,17.232,1
2020-11-27,17.568,1
2020-11-28,16.883,1
2020-11-29,17.811,1
2020-11-30,23.109,1
2020-12-01,26.088,1
2020-12-02,23.568,1
2020-12-03,21.378,1
2020-12-04,20.045,1
2020-12-05,19.265,1
2020-12-06,21.559,1
2020-12-07,24.217,2
2020-12-08,24.44,2
2020-12-09,24.667,2
2020-12-10,24.898,2
2020-12-11,25.131,2
2020-12-12,25.368,2
2020-12-13,25.607,2
